state,state_tribal_other_agencies,unit_office,violent_crime,murder_and_nonnegligent_manslaughter,rape_revised_definition_1,rape_legacy_definition_2,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson3
,,Bay County,0,0,0,,0,0,0,0,0,0,0
,,Bradford County,0,0,0,,0,0,0,0,0,0,0
,,Brevard County,1,0,0,,0,1,1,0,0,1,0
,,Broward County,3,0,0,,0,3,5,0,2,3,0
,,Calhoun County,0,0,0,,0,0,0,0,0,0,0
,,Charlotte County,0,0,0,,0,0,3,0,2,1,0
,,Citrus County,0,0,0,,0,0,0,0,0,0,0
,,Clay County,0,0,0,,0,0,0,0,0,0,0
,,Collier County,0,0,0,,0,0,0,0,0,0,0
,,Columbia County,1,0,0,,0,1,0,0,0,0,0
,,DeSoto County,0,0,0,,0,0,0,0,0,0,0
,,Dixie County,0,0,0,,0,0,0,0,0,0,0
,,Duval County,7,0,0,,0,7,8,0,0,8,0
,,Escambia County,6,0,0,,0,6,0,0,0,0,0
,,Flagler County,0,0,0,,0,0,0,0,0,0,0
,,Franklin County,0,0,0,,0,0,0,0,0,0,0
,,Gadsden County,0,0,0,,0,0,0,0,0,0,0
,,Gilchrist County,0,0,0,,0,0,0,0,0,0,0
,,Glades County,0,0,0,,0,0,0,0,0,0,0
,,Gulf County,0,0,0,,0,0,0,0,0,0,0
,,Hamilton County,3,0,0,,0,3,0,0,0,0,0
,,Hardee County,0,0,0,,0,0,0,0,0,0,0
,,Hendry County,0,0,0,,0,0,0,0,0,0,0
,,Hernando County,0,0,0,,0,0,0,0,0,0,0
,,Highlands County,0,0,0,,0,0,0,0,0,0,0
,,Hillsborough County,3,0,0,,0,3,2,0,1,1,0
,,Holmes County,0,0,0,,0,0,0,0,0,0,0
,,Indian River County,0,0,0,,0,0,0,0,0,0,0
,,Jackson County,0,0,0,,0,0,0,0,0,0,0
,,Jefferson County,0,0,0,,0,0,0,0,0,0,0
,,Lafayette County,0,0,0,,0,0,0,0,0,0,0
,,Lake County,2,0,0,,0,2,0,0,0,0,0
,,Lee County,3,0,0,,0,3,1,0,1,0,0
,,Leon County,3,0,0,,0,3,3,0,3,0,0
,,Levy County,0,0,0,,0,0,0,0,0,0,0
,,Liberty County,0,0,0,,0,0,0,0,0,0,0
,,Madison County,0,0,0,,0,0,4,0,0,4,0
,,Manatee County,0,0,0,,0,0,3,0,0,3,0
,,Marion County,2,0,0,,0,2,0,0,0,0,0
,,Martin County,2,0,0,,0,2,1,0,1,0,0
,,Miami-Dade County,20,0,0,,0,20,8,0,4,4,0
,,Monroe County,0,0,0,,0,0,3,0,0,3,0
,,Nassau County,0,0,0,,0,0,1,0,0,1,0
,,Okaloosa County,0,0,0,,0,0,0,0,0,0,0
,,Okeechobee County,3,0,0,,0,3,0,0,0,0,0
,,Orange County,6,0,0,,0,6,1,0,0,1,0
,,Osceola County,1,0,0,,0,1,7,0,3,4,0
,,Palm Beach County,8,0,0,,0,8,6,0,2,4,0
,,Pasco County,3,0,0,,0,3,5,0,2,3,0
,,Pinellas County,0,0,0,,0,0,0,0,0,0,0
,,Polk County,9,0,0,,0,9,3,0,2,1,0
,,Putnam County,0,0,0,,0,0,3,0,3,0,0
,,Santa Rosa County,1,0,0,,0,1,0,0,0,0,0
,,Sarasota County,2,0,0,,0,2,0,0,0,0,0
,,Seminole County,0,0,0,,0,0,0,0,0,0,0
,,St. Johns County,0,0,0,,0,0,2,0,1,1,0
,,St. Lucie County,1,0,0,,0,1,5,0,3,2,0
,,Sumter County,2,0,0,,0,2,2,0,0,2,0
,,Suwannee County,2,0,0,,0,2,0,0,0,0,0
,,Taylor County,0,0,0,,0,0,0,0,0,0,0
,,Union County,0,0,0,,0,0,0,0,0,0,0
,,Volusia County,0,0,0,,0,0,4,0,0,4,0
,,Wakulla County,0,0,0,,0,0,0,0,0,0,0
,,Walton County,0,0,0,,0,0,0,0,0,0,0
,,Washington County,0,0,0,,0,0,0,0,0,0,0
,State Treasurer's Office,Division of Insurance Fraud,0,0,0,,0,0,0,0,0,0,0
FLORIDA–Tribal Agencies,Miccosukee Tribal,,5,1,0,,1,3,65,5,48,12,0
,Seminole Tribal,,82,2,9,,26,45,638,34,566,38,2
FLORIDA–Other Agencies,Duval County Schools,,71,0,8,,5,58,415,87,311,17,5
,Florida School for the Deaf and Blind,,0,0,0,,0,0,0,0,0,0,0
,Fort Lauderdale Airport,,4,0,0,,0,4,277,3,211,63,0
,Jacksonville Aviation Authority,,0,0,0,,0,0,42,0,20,22,0
,Lee County Port Authority,,0,0,0,,0,0,43,0,42,1,0
,Melbourne International Airport,,0,0,0,,0,0,3,0,2,1,0
,Northwest Florida Beaches International Airport,,0,0,0,,0,0,3,0,3,0,0
,Palm Beach County School District,,73,0,3,,14,56,753,38,705,10,3
,Port Everglades,,12,0,5,,0,7,72,3,65,4,0
,Sarasota-Manatee Airport Authority,,0,0,0,,0,0,38,1,5,32,0
,St. Petersburg-Clearwater International Airport,,0,0,0,,0,0,6,0,4,2,0
,Tampa International Airport,,4,0,0,,0,4,161,1,99,61,0
,Volusia County Beach Management,,9,0,1,,1,7,196,1,194,1,0
GEORGIA–State Agencies,Georgia Department of Transportation,Office of Investigations,0,0,,0,0,0,0,0,0,0,0
,Georgia Forestry Commission,,0,0,,0,0,0,0,0,0,0,91
,Georgia Public Safety Training Center,,0,0,,0,0,0,0,0,0,0,0
,Georgia World Congress,,4,0,,0,1,3,191,1,186,4,0
,Ports Authority,Savannah,0,0,,0,0,0,7,1,5,1,0
,State Board of Workers Compensation,Fraud Investigation Division,0,0,,0,0,0,0,0,0,0,
GEORGIA–Other Agencies,Appling County Board of Education,,0,0,,0,0,0,5,0,5,0,0
,Atlanta Public Schools,,41,0,,2,13,26,298,33,243,22,0
,Augusta Board of Education,,1,0,,1,0,0,155,4,151,0,
,Chatham County Board of Education,,8,0,,1,5,2,85,9,74,2,0
,Cherokee County Board of Education,,1,0,,1,0,0,69,1,68,0,0
,Cherokee County Marshal,,0,0,,0,0,0,0,0,0,0,0
,Cobb County Board of Education,,93,0,,1,4,88,526,17,507,2,0
,Decatur County Schools,,1,0,,1,0,0,1,0,1,0,0
,DeKalb County School System,,61,0,,7,24,30,485,62,402,21,6
,Dougherty County Board of Education,,2,0,,0,2,0,41,3,38,0,0
,Fayette County Marshal,,0,0,,0,0,0,0,0,0,0,0
,Forsyth County Fire Investigation Unit,,0,0,,0,0,0,0,0,0,0,8
,Fulton County Marshal,,14,1,,0,0,13,39,0,39,0,0
,Fulton County School System,,16,0,,3,1,12,135,33,95,7,1
,Glynn County School System,,4,0,,0,1,3,50,5,45,0,0
,Gwinnett County Public Schools,,16,0,,1,5,10,332,10,318,4,0
,Hall County Marshal,,0,0,,0,0,0,0,0,0,0,0
,Hartsfield-Jackson Atlanta International Airport,,19,0,,0,4,15,374,3,261,110,0
,Metropolitan Atlanta Rapid Transit Authority,,169,2,,0,45,122,294,2,267,25,7
,Muscogee City Marshal,,0,0,,0,0,0,0,0,0,0,0
,Richmond County Marshal,,0,0,,0,0,0,0,0,0,0,0
,Stone Mountain Park,,0,0,,0,0,0,41,0,40,1,0
,Twiggs County Board of Education,,1,1,,0,0,0,27,1,26,0,0
,Washington County Board of Education,,0,0,,0,0,0,0,0,0,0,0
IDAHO–State Agencies,Idaho State Police,,14,4,1,,0,9,7,2,5,0,0
ILLINOIS–State Agencies,Illinois Department of Natural Resources,,3,0,0,,0,3,20,4,16,0,0
,Illinois State Police,,215,15,65,,13,122,181,37,98,46,3
,Secretary of State Police,,1,0,0,,0,1,10,1,9,0,0
,State Fire Marshal,,0,0,0,,0,0,0,0,0,0,333
ILLINOIS–Other Agencies,Alton & Southern Railway,,0,0,0,,0,0,2,0,2,0,1
,Belt Railway,,0,0,0,,0,0,6,2,4,0,0
,Canadian National Railway4,,0,0,0,,0,0,68,0,68,0,0
,Canton Park District,,0,0,0,,0,0,0,0,0,0,0
,Capitol Airport Authority,,0,0,0,,0,0,0,0,0,0,0
,Chicago Fire Department,Arson Investigations,0,0,0,,0,0,0,0,0,0,505
,Cook County Forest Preserve,,21,0,5,,8,8,93,0,68,25,0
,Crystal Lake Park District,,4,0,0,,0,4,4,1,3,0,0
,Decatur Park District,,6,0,0,,1,5,11,3,8,0,2
,DuPage County Forest Preserve,,0,0,0,,0,0,29,1,28,0,0
,Fon du Lac Park District,,0,0,0,,0,0,1,0,1,0,0
,Fox Valley Park District,,3,0,0,,3,0,45,0,45,0,0
,Indiana Harbor Belt Railroad,,0,0,0,,0,0,3,2,1,0,0
,Kane County Forest Preserve,,1,0,0,,0,1,3,0,3,0,0
,Lake County Forest Preserve,,2,0,0,,0,2,13,0,13,0,0
,McHenry County Conservation District,,0,0,0,,0,0,4,0,4,0,0
,Naperville Park District,,0,0,0,,0,0,13,0,13,0,1
,Norfolk Southern Railway:,Cook County,0,0,0,,0,0,648,542,106,0,0
,,Macon County,0,0,0,,0,0,4,1,3,0,0
,,Madison County,0,0,0,,0,0,2,1,1,0,0
,Pekin Park District,,0,0,0,,0,0,2,0,2,0,0
,Rockford Park District,,52,0,0,,9,43,90,24,64,2,0
,Springfield Park District,,27,0,1,,1,25,25,10,12,3,0
,Terminal Railroad Association,,0,0,0,,0,0,2,0,2,0,0
,Tri-County Drug Enforcement Narcotics Team,,1,0,0,,0,1,0,0,0,0,0
,Union Pacific Railroad,Cook County,0,0,0,,0,0,292,93,199,0,0
INDIANA–State Agencies,Indiana State Excise Police,,0,0,0,,0,0,3,0,3,0,0
,Northern Indiana Commuter Transportation District,,2,0,,0,2,0,26,0,24,2,0
,State Police:,Allen County,3,0,1,,0,2,16,0,13,3,0
,,Bartholomew County,0,0,0,,0,0,14,1,8,5,0
,,Brown County,1,0,1,,0,0,6,1,3,2,0
,,Cass County,2,0,1,,0,1,7,1,6,0,0
,,Clark County,1,0,0,,0,1,41,3,27,11,0
,,Clay County,3,0,0,,0,3,8,2,6,0,0
,,Crawford County,4,1,1,,0,2,14,3,7,4,0
,,Daviess County,3,0,0,,0,3,11,0,10,1,0
,,Dearborn County,2,0,0,,1,1,12,4,7,1,0
,,Decatur County,3,0,3,,0,0,9,0,4,5,0
,,De Kalb County,6,1,3,,0,2,6,2,4,0,0
,,Delaware County,2,0,1,,0,1,20,0,13,7,0
,,Dubois County,3,0,1,,0,2,27,3,21,3,0
,,Elkhart County,3,1,1,,0,1,13,0,8,5,0
,,Floyd County,0,0,0,,0,0,11,1,7,3,0
,,Franklin County,3,1,0,,0,2,11,5,4,2,1
,,Fulton County,2,0,1,,0,1,9,1,4,4,0
,,Gibson County,6,0,0,,0,6,12,1,9,2,0
,,Greene County,3,0,2,,0,1,21,1,19,1,0
,,Hancock County,1,0,0,,0,1,5,0,3,2,0
,,Harrison County,3,0,0,,0,3,17,4,11,2,0
,,Hendricks County,2,0,0,,1,1,11,1,8,2,0
,,Henry County,2,0,0,,0,2,8,1,6,1,0
,,Howard County,6,1,2,,1,2,9,3,5,1,0
,,Huntington County,0,0,0,,0,0,3,1,2,0,0
,,Jackson County,6,1,2,,0,3,14,1,9,4,1
,,Jasper County,5,0,0,,0,5,10,0,7,3,0
,,Jay County,2,0,1,,0,1,4,0,4,0,0
,,Jefferson County,8,0,1,,0,7,13,5,7,1,0
,,Jennings County,10,0,1,,0,9,11,2,6,3,0
,,Johnson County,2,0,0,,0,2,9,0,5,4,0
,,Knox County,7,0,0,,0,7,15,1,13,1,0
,,Kosciusko County,4,0,1,,0,3,14,8,5,1,0
,,LaGrange County,3,0,1,,2,0,6,2,4,0,1
,,Lake County,13,0,1,,0,12,62,0,34,28,0
,,La Porte County,1,0,1,,0,0,15,0,9,6,0
,,Lawrence County,6,1,3,,0,2,13,4,6,3,0
,,Madison County,4,0,1,,1,2,17,2,12,3,0
,,Marion County,25,0,5,,5,15,335,1,162,172,1
,,Marshall County,9,0,1,,1,7,18,1,16,1,0
,,Martin County,3,0,0,,0,3,10,2,7,1,0
,,Miami County,14,0,3,,1,10,14,3,11,0,0
,,Monroe County,10,0,3,,1,6,37,7,25,5,0
,,Montgomery County,4,0,3,,0,1,4,0,4,0,0
,,Morgan County,4,0,1,,0,3,13,0,6,7,0
,,Noble County,2,0,1,,0,1,8,4,3,1,1
,,Orange County,14,1,9,,0,4,11,2,9,0,0
,,Perry County,4,1,0,,0,3,12,3,8,1,0
,,Pike County,11,0,1,,0,10,12,2,9,1,0
,,Porter County,0,0,0,,0,0,12,0,8,4,0
,,Posey County,9,0,0,,1,8,9,1,7,1,1
,,Putnam County,6,2,2,,0,2,12,3,7,2,0
,,Ripley County,9,0,3,,0,6,47,16,24,7,0
,,Scott County,6,0,1,,1,4,15,1,13,1,1
,,Shelby County,3,0,0,,0,3,4,1,2,1,0
,,Spencer County,3,0,0,,0,3,12,1,11,0,0
,,St. Joseph County,3,0,1,,0,2,22,1,16,5,0
,,Sullivan County,12,1,5,,1,5,8,1,4,3,0
,,Switzerland County,0,0,0,,0,0,0,0,0,0,0
,,Tippecanoe County,9,0,2,,0,7,26,2,19,5,0
,,Vanderburgh County,1,0,0,,0,1,11,3,8,0,0
,,Vermillion County,1,0,0,,0,1,8,0,8,0,0
,,Vigo County,2,0,0,,0,2,25,2,17,6,0
,,Wabash County,2,1,1,,0,0,2,0,1,1,0
,,Warren County,3,1,1,,0,1,3,1,2,0,1
,,Washington County,6,2,1,,0,3,3,0,3,0,0
,,Wayne County,5,0,0,,0,5,5,0,4,1,0
,,White County,2,0,1,,1,0,11,2,6,3,0
,,Whitley County,5,0,5,,0,0,6,2,4,0,1
INDIANA–Other Agencies,Indianapolis International Airport,,6,0,0,,0,6,65,1,58,6,0
KANSAS–State Agencies,Kansas Alcoholic Beverage Control,,0,0,0,,0,0,0,0,0,0,0
,Kansas Bureau of Investigation,,18,3,4,,0,11,3,0,3,0,0
,Kansas Department of Wildlife and Parks,,5,0,0,,0,5,27,3,22,2,0
,Kansas Highway Patrol,,31,4,1,,2,24,59,4,40,15,2
,Kansas Lottery Security Division,,0,0,0,,0,0,0,0,0,0,0
,Kansas Racing Commission ,Security Division,0,0,0,,0,0,2,0,2,0,0
KANSAS–Tribal Agencies,Iowa Tribal,,0,0,0,,0,0,0,0,0,0,0
,Kickapoo Tribal,,2,0,0,,0,2,14,10,3,1,0
,Sac and Fox Tribal,,0,0,0,,0,0,7,0,7,0,0
KANSAS–Other Agencies,El Dorado School District,,0,0,0,,0,0,1,0,1,0,0
,Johnson County Park,,1,0,0,,0,1,32,3,29,0,2
,Salina Drug Unit,,0,0,0,,0,0,2,1,1,0,0
,Shawnee Mission Public Schools,,1,0,0,,0,1,9,0,9,0,1
,Topeka Fire Department,Arson Investigation,1,0,0,,0,1,11,10,1,0,59
,Unified School District: ,Kansas City,0,0,0,,0,0,50,1,49,0,0
,,Shawnee Heights,0,0,0,,0,0,0,0,0,0,0
KENTUCKY–State Agencies,Alcohol Beverage Control:,Enforcement Division,0,0,0,,0,0,0,0,0,0,0
,,Investigative Division,0,0,0,,0,0,1,0,1,0,0
,Fish and Wildlife Enforcement,,0,0,0,,0,0,9,1,8,0,0
,Kentucky Fairgrounds Security,,0,0,0,,0,0,0,0,0,0,0
,Kentucky Horse Park,,0,0,0,,0,0,29,0,27,2,0
,Motor Vehicle Enforcement,,1,0,0,,1,0,8,3,5,0,0
,Park Security,,0,0,0,,0,0,18,1,17,0,0
,State Police:,Ashland,38,3,18,,3,14,162,43,96,23,2
,,Bowling Green,46,6,21,,3,16,120,54,58,8,7
,,Campbellsburg,56,0,32,,4,20,175,70,82,23,5
,,Cannabis Suppression Section,0,0,0,,0,0,0,0,0,0,0
,,Columbia,69,9,43,,1,16,105,46,48,11,10
,,Drug Enforcement Area 2,1,0,0,,1,0,1,0,1,0,0
,,Dry Ridge,41,0,28,,1,12,142,58,69,15,1
,,Electronic Crimes,0,0,0,,0,0,0,0,0,0,0
,,Elizabethtown,52,2,33,,3,14,127,50,57,20,1
,,Frankfort,31,1,14,,1,15,134,35,82,17,12
,,Harlan,65,5,34,,2,24,272,113,112,47,1
,,Hazard,103,3,16,,10,74,272,139,98,35,8
,,Henderson,24,2,13,,3,6,113,38,62,13,6
,,London,83,2,43,,4,34,290,121,122,47,7
,,Madisonville,41,1,26,,3,11,120,59,48,13,4
,,Mayfield,64,5,28,,2,29,165,60,92,13,2
,,Morehead,64,8,33,,3,20,227,107,101,19,9
,,Pikeville,111,2,45,,14,50,280,126,106,48,7
,,Richmond,60,8,29,,5,18,327,128,166,33,9
,,Vehicle Investigations,0,0,0,,0,0,1,0,1,0,0
,,West Drug Enforcement Branch,0,0,0,,0,0,10,2,8,0,0
,Unlawful Narcotics Investigation ,Treatment and Education,0,0,0,,0,0,0,0,0,0,0
KENTUCKY–Other Agencies,Barren County Drug Task Force,,0,0,0,,0,0,1,0,1,0,1
,Cincinnati-Northern Kentucky International Airport,,0,0,0,,0,0,48,0,42,6,0
,Clark County School System,,0,0,0,,0,0,4,1,3,0,0
,Cumberland River Drug Task Force,,0,0,0,,0,0,0,0,0,0,0
,Daniel Boone National Forest,,0,0,0,,0,0,0,0,0,0,0
,Estill County Constable,District 1,0,0,0,,0,0,0,0,0,0,0
,Fayette County Schools,,13,0,1,,3,9,104,3,99,2,3
,FIVCO Area Drug Task Force,,0,0,0,,0,0,0,0,0,0,0
,Graves County Schools,,0,0,0,,0,0,0,0,0,0,0
,Greater Hardin County Narcotics Task Force,,0,0,0,,0,0,2,1,1,0,0
,Hardin County Constable,District 5,0,0,0,,0,0,0,0,0,0,0
,Jefferson County School District,,16,0,0,,1,15,58,22,36,0,1
,Lake Cumberland Area Drug Enforcement Task Force,,0,0,0,,0,0,0,0,0,0,0
,Laurel County Constable ,District 1,0,0,0,,0,0,0,0,0,0,0
,Lee County Constable ,District 3,0,0,0,,0,0,0,0,0,0,0
,Lexington Bluegrass Airport,,0,0,0,,0,0,6,0,6,0,0
,Louisville Regional Airport Authority,,0,0,0,,0,0,24,2,7,15,0
,McCracken County Public Schools,,1,0,0,,0,1,1,0,1,0,0
,Montgomery County School District,,0,0,0,,0,0,7,0,7,0,0
,Northern Kentucky Drug Strike Force,,0,0,0,,0,0,1,0,1,0,0
,Ohio County School System,,0,0,0,,0,0,0,0,0,0,0
,Pennyrile Narcotics Task Force,,0,0,0,,0,0,6,0,6,0,0
,Pulaski County Constable,District 5,6,0,0,,1,5,0,0,0,0,0
,South Central Kentucky Drug Task Force,,0,0,0,,0,0,1,0,1,0,0
,Tennessee Valley Authority,,0,0,0,,0,0,0,0,0,0,0
,Warren County Constable,District 4,0,0,0,,0,0,0,0,0,0,0
LOUISIANA–State Agencies,Tensas Basin Levee District,,0,0,0,,0,0,0,0,0,0,0
LOUISIANA–Tribal Agencies,Chitimacha Tribal,,9,0,0,,1,8,45,1,42,2,0
,Coushatta Tribal,,1,0,0,,1,0,49,2,46,1,0
,Tunica-Biloxi Tribal,,2,0,1,,0,1,115,4,105,6,0
MAINE–State Agencies,Bureau of Capitol Police5,,2,0,0,,0,2,13,0,13,0,0
,Drug Enforcement Agency: ,Androscoggin County5,0,0,0,,0,0,0,0,0,0,0
,,Aroostook County5,0,0,0,,0,0,0,0,0,0,0
,,Cumberland County5,0,0,0,,0,0,0,0,0,0,0
,,Franklin County5,0,0,0,,0,0,0,0,0,0,0
,,Hancock County5,0,0,0,,0,0,0,0,0,0,0
,,Kennebec County5,0,0,0,,0,0,0,0,0,0,0
,,Knox County5,0,0,0,,0,0,0,0,0,0,0
,,Lincoln County5,0,0,0,,0,0,0,0,0,0,0
,,Oxford County5,0,0,0,,0,0,0,0,0,0,0
,,Penobscot County5,0,0,0,,0,0,0,0,0,0,0
,,Piscataquis County5,0,0,0,,0,0,0,0,0,0,0
,,Sagadahoc County5,0,0,0,,0,0,0,0,0,0,0
,,Somerset County5,0,0,0,,0,0,0,0,0,0,0
,,Waldo County5,0,0,0,,0,0,0,0,0,0,0
,,Washington County5,0,0,0,,0,0,0,0,0,0,0
,,York County5,0,0,0,,0,0,0,0,0,0,0
,State Fire Marshal: ,Androscoggin County5,0,0,0,,0,0,0,0,0,0,5
,,Aroostook County5,0,0,0,,0,0,0,0,0,0,8
,,Cumberland County5,0,0,0,,0,0,0,0,0,0,9
,,Franklin County5,0,0,0,,0,0,0,0,0,0,6
,,Hancock County5,0,0,0,,0,0,0,0,0,0,9
,,Kennebec County5,0,0,0,,0,0,0,0,0,0,23
,,Knox County5,0,0,0,,0,0,0,0,0,0,6
,,Lincoln County5,0,0,0,,0,0,0,0,0,0,3
,,Oxford County5,0,0,0,,0,0,0,0,0,0,12
,,Penobscot County5,0,0,0,,0,0,0,0,0,0,17
,,Piscataquis County5,0,0,0,,0,0,0,0,0,0,5
,,Sagadahoc County5,0,0,0,,0,0,0,0,0,0,8
,,Somerset County5,0,0,0,,0,0,1,1,0,0,6
,,Waldo County5,0,0,0,,0,0,0,0,0,0,8
,,Washington County5,0,0,0,,0,0,0,0,0,0,4
,,York County5,0,0,0,,0,0,0,0,0,0,19
,State Police Computer Crimes Task Force:,Androscoggin County5,0,0,0,,0,0,0,0,0,0,0
,,Aroostook County5,0,0,0,,0,0,0,0,0,0,0
,,Cumberland County5,0,0,0,,0,0,0,0,0,0,0
,,Franklin County5,0,0,0,,0,0,0,0,0,0,0
,,Hancock County5,0,0,0,,0,0,0,0,0,0,0
,,Kennebec County5,0,0,0,,0,0,0,0,0,0,0
,,Knox County5,0,0,0,,0,0,0,0,0,0,0
,,Lincoln County5,0,0,0,,0,0,0,0,0,0,0
,,Oxford County5,0,0,0,,0,0,0,0,0,0,0
,,Penobscot County5,0,0,0,,0,0,0,0,0,0,0
,,Piscataquis County5,0,0,0,,0,0,0,0,0,0,0
,,Sagadahoc County5,0,0,0,,0,0,0,0,0,0,0
,,Somerset County5,0,0,0,,0,0,0,0,0,0,0
,,Waldo County5,0,0,0,,0,0,0,0,0,0,0
,,Washington County5,0,0,0,,0,0,0,0,0,0,0
,,York County5,0,0,0,,0,0,0,0,0,0,0
,State Police: ,Androscoggin County5,3,0,0,,0,3,49,18,29,2,0
,,Aroostook County5,14,1,3,,0,10,145,36,98,11,0
,,Cumberland County5,5,2,0,,0,3,19,4,13,2,0
,,Franklin County5,4,0,0,,0,4,35,13,20,2,0
,,Hancock County5,14,0,4,,1,9,126,55,66,5,0
,,Kennebec County5,22,0,5,,2,15,229,57,151,21,0
,,Knox County5,3,0,1,,0,2,2,1,1,0,0
,,Lincoln County5,1,0,0,,0,1,5,1,4,0,0
,,Oxford County5,2,1,1,,0,0,37,12,22,3,0
,,Penobscot County5,13,0,0,,2,11,213,118,85,10,0
,,Piscataquis County5,0,0,0,,0,0,1,0,1,0,0
,,Sagadahoc County5,0,0,0,,0,0,1,0,1,0,0
,,Somerset County5,11,1,1,,0,9,87,14,70,3,0
,,Waldo County5,3,0,1,,0,2,85,24,56,5,0
,,Washington County5,8,0,0,,0,8,102,25,73,4,0
,,York County5,17,1,1,,2,13,162,69,83,10,0
MAINE–Tribal Agencies,Passamaquoddy Pleasant Point Tribal,,10,0,2,,0,8,17,6,10,1,0
MARYLAND–State Agencies,Comptroller of the Treasury,Field Enforcement Division,0,0,0,,0,0,0,0,0,0,0
,Department of Public Safety and Correctional Services,Internal Investigation Division,355,0,1,,0,354,2,0,2,0,
,General Services,"Annapolis, Anne Arundel County",1,0,0,,0,1,10,0,10,0,0
,Maryland State Police Statewide,,3,0,0,,3,0,1,0,1,0,0
,Natural Resources Police,,12,0,0,,0,12,160,17,140,3,26
,Springfield Hospital,,0,0,0,,0,0,5,0,5,0,0
,State Fire Marshal,,4,0,0,,0,4,0,0,0,0,0
,State Police: ,Allegany County,20,3,0,,2,15,321,62,247,12,9
,,Anne Arundel County,8,1,0,,0,7,36,2,29,5,0
,,Baltimore City,0,0,0,,0,0,0,0,0,0,0
,,Baltimore County,17,0,0,,0,17,31,1,22,8,1
,,Calvert County,18,0,0,,2,16,114,15,95,4,9
,,Caroline County,13,0,1,,1,11,67,26,34,7,4
,,Carroll County,49,0,0,,19,30,362,55,296,11,5
,,Cecil County,81,1,1,,8,71,688,168,477,43,5
,,Charles County,5,0,0,,0,5,5,0,5,0,0
,,Dorchester County,11,0,0,,1,10,32,11,21,0,1
,,Frederick County,49,0,1,,4,44,141,42,88,11,1
,,Garrett County,14,0,5,,2,7,107,38,61,8,5
,,Harford County,30,0,0,,5,25,228,10,209,9,21
,,Howard County,9,0,0,,1,8,15,0,12,3,0
,,Kent County,4,0,0,,0,4,5,2,3,0,1
,,Montgomery County,2,0,0,,0,2,2,0,2,0,0
,,Prince George's County,3,0,0,,0,3,38,0,25,13,0
,,Queen Anne's County,36,0,1,,2,33,74,15,53,6,10
,,Somerset County,31,1,6,,5,19,198,66,120,12,4
,,St. Mary's County,22,0,5,,3,14,192,27,160,5,25
,,Talbot County,7,0,0,,0,7,45,13,26,6,0
,,Wicomico County,53,1,4,,7,41,201,82,108,11,5
,,Worcester County,12,0,1,,1,10,123,31,87,5,2
,Transit Administration,,84,0,0,,43,41,151,3,138,10,0
,Transportation Authority,,8,0,0,,2,6,127,2,96,29,0
MARYLAND–Other Agencies,Maryland-National Capital Park Police,Montgomery County,19,0,1,,10,8,95,7,86,2,1
MASSACHUSETTS–State Agencies,Division of Law Enforcement,Environmental Police,9,0,0,,1,8,24,7,11,6,2
,Massachusetts Bay Transportation Authority:,Bristol County,0,0,0,,0,0,12,0,5,7,
,,Essex County,6,0,0,,5,1,11,0,9,2,
,,Middlesex County,22,0,0,,10,12,147,4,141,2,
,,Norfolk County,12,0,0,,4,8,53,1,46,6,
,,Plymouth County,0,0,0,,0,0,9,0,8,1,
,,Suffolk County,216,0,1,,128,87,286,16,265,5,
,,Worcester County,0,0,0,,0,0,2,0,2,0,
,State Police:,Barnstable County,0,0,0,,0,0,0,0,0,0,
,,Berkshire County,3,0,0,,0,3,54,28,26,0,
,,Bristol County,7,0,0,,0,7,6,0,3,3,
,,Dukes County,0,0,0,,0,0,0,0,0,0,
,,Franklin County,5,0,1,,0,4,0,0,0,0,
,,Hampden County,22,0,0,,0,22,9,0,2,7,
,,Hampshire County,6,0,0,,0,6,0,0,0,0,
,,Norfolk County,22,0,0,,0,22,12,0,3,9,
,,Plymouth County,0,0,0,,0,0,0,0,0,0,
,,Worcester County,4,0,0,,0,4,6,0,4,2,
MICHIGAN–State Agencies,State Police:,Alcona County,4,0,3,,0,1,1,1,0,0,0
,,Alger County,11,0,4,,0,7,26,7,17,2,0
,,Allegan County,112,2,50,,3,57,314,99,203,12,3
,,Alpena County,60,3,30,,0,27,146,33,107,6,1
,,Antrim County,5,0,5,,0,0,24,7,16,1,0
,,Arenac County,11,0,11,,0,0,9,3,5,1,0
,,Baraga County,13,0,4,,0,9,18,4,14,0,0
,,Barry County,37,1,12,,0,24,101,34,65,2,1
,,Bay County,119,2,41,,3,73,243,76,137,30,3
,,Benzie County,4,0,4,,0,0,8,2,6,0,0
,,Berrien County,47,5,15,,3,24,163,53,97,13,2
,,Branch County,45,1,20,,0,24,176,99,57,20,2
,,Calhoun County,107,0,35,,0,72,321,143,153,25,4
,,Cass County,19,0,7,,1,11,44,23,19,2,0
,,Charlevoix County,4,0,2,,0,2,11,0,10,1,2
,,Cheboygan County,14,0,10,,0,4,23,12,11,0,0
,,Chippewa County,52,0,18,,0,34,68,26,39,3,0
,,Clare County,25,0,13,,0,12,23,11,11,1,1
,,Clinton County,6,0,4,,0,2,13,5,8,0,0
,,Crawford County,7,0,2,,0,5,21,9,11,1,1
,,Delta County,25,0,16,,1,8,67,24,36,7,0
,,Dickinson County,8,0,6,,0,2,51,13,32,6,1
,,Eaton County,22,0,13,,0,9,40,12,23,5,0
,,Emmet County,10,0,3,,0,7,48,6,37,5,0
