column_a,column_b,column_c,column_d,column_e,column_f,column_g,column_h,column_i,column_j,column_k,column_l,column_m,column_n
,,Estimated total,1,770,11,137,100,119,503,11884,1830,9264,790
,Nonmetropolitan counties,,353560,,,,,,,,,,
,,Area actually reporting,0.733,567,22,68,45,22,455,3930,975,2413,542
,,Estimated total,1,782,30,101,66,30,621,5363,1330,3293,740
,State Total,,4093465,10830,113,1721,1261,2278,6718,121345,16866,91286,13193
,,"Rate per 100,000 inhabitants",,264.6,2.8,42,30.8,55.6,164.1,2964.4,412,2230,322.3
PENNSYLVANIA,Metropolitan Statistical Area,,11313467,,,,,,,,,,
,,Area actually reporting,0.991,37232,626,3535,2632,11996,21075,203086,31518,159219,12349
,,Estimated total,1,37394,627,3543,2639,12038,21186,204598,31708,160485,12405
,Cities outside metropolitan areas,,681636,,,,,,,,,,
,,Area actually reporting,0.959,1552,10,140,106,162,1240,9060,1378,7434,248
,,Estimated total,1,1609,10,137,103,169,1293,9449,1437,7753,259
,Nonmetropolitan counties,,789124,,,,,,,,,,
,,Area actually reporting,1,1444,24,753,491,119,548,8748,2375,5990,383
,State Total,,12784227,40447,661,4433,3233,12326,23027,222795,35520,174228,13047
,,"Rate per 100,000 inhabitants",,316.4,5.2,34.7,25.3,96.4,180.1,1742.7,277.8,1362.8,102.1
PUERTO RICO7,Metropolitan Statistical Area,,3262275,,,,,,,,,,
,,Area actually reporting,1,7362,650,160,121,3155,3397,34107,7907,22453,3747
,Cities outside metropolitan areas,,149032,,,,,,,,,,
,,Area actually reporting,1,281,29,9,7,46,197,1094,344,710,40
,Total,,3411307,7643,679,169,128,3201,3594,35201,8251,23163,3787
,,"Rate per 100,000 inhabitants",,224,19.9,5,3.8,93.8,105.4,1031.9,241.9,679,111
RHODE ISLAND6,Metropolitan Statistical Area,,1056426,,,,,,,,,,
,,Area actually reporting,1,2489,28,420,314,539,1502,19978,3787,14611,1580
,Cities outside metropolitan areas,,,,,,,,,,,,
,Nonmetropolitan counties,,,,,,,,,,,,
,,Area actually reporting,1,35,1,22,14,1,11,80,1,63,16
,State Total,,1056426,2524,29,442,328,540,1513,20058,3788,14674,1596
,,"Rate per 100,000 inhabitants",,238.9,2.7,41.8,31,51.1,143.2,1898.7,358.6,1389,151.1
SOUTH CAROLINA,Metropolitan Statistical Area,,4212891,,,,,,, ,,,
,,Area actually reporting,0.997,20864,303,2009,1453,3488,15064,135853,26498,97150,12205
,,Estimated total,1,20933,303,2016,1459,3500,15114,136379,26574,97566,12239
,Cities outside metropolitan areas,,205750,,,,,,,,,,
,,Area actually reporting,0.972,1737,33,147,106,300,1257,10856,2309,8097,450
,,Estimated total,1,1787,34,151,109,309,1293,11166,2375,8328,463
,Nonmetropolitan counties,,542478,,,,,,,,,,
,,Area actually reporting,0.992,2158,29,218,142,224,1687,13274,3994,8072,1208
,,Estimated total,1,2176,29,220,143,226,1701,13383,4027,8138,1218
,State Total,,4961119,24896,366,2387,1711,4035,18108,160928,32976,114032,13920
,,"Rate per 100,000 inhabitants",,501.8,7.4,48.1,34.5,81.3,365,3243.8,664.7,2298.5,280.6
SOUTH DAKOTA6,Metropolitan Statistical Area,,416782, ,,,,,,,,,
,,Area actually reporting,0.993,1732,15,309,228,211,1197,10354,1798,7560,996
,,Estimated total,1,1735,15,309,228,211,1200,10384,1802,7584,998
,Cities outside metropolitan areas,,219496,,,,,,,,,,
,,Area actually reporting,0.946,1584,6,152,113,52,1374,5254,839,4042,373
,,Estimated total,1,1673,6,159,119,55,1453,5554,887,4273,394
,Nonmetropolitan counties,,229176,,,,,,,,,,
,,Area actually reporting,0.782,168,5,33,25,5,125,940,243,611,86
,,Estimated total,1,213,6,41,32,6,160,1203,311,782,110
,State Total,,865454,3621,27,509,379,272,2813,17141,3000,12639,1502
,,"Rate per 100,000 inhabitants",,418.4,3.1,58.8,43.8,31.4,325,1980.6,346.6,1460.4,173.6
TENNESSEE,Metropolitan Statistical Area,,5151809, ,,,,,,,,,
,,Area actually reporting,1,36002,435,2261,1679,7403,25903,154421,31772,110354,12295
,Cities outside metropolitan areas,,513895,,,,,,,,,,
,,Area actually reporting,1,3326,25,244,177,290,2767,20509,3890,15469,1150
,Nonmetropolitan counties,,985490,,,,,,,,,,
,,Area actually reporting,1,2769,26,209,135,120,2414,14905,4650,8581,1674
,State Total,,6651194,42097,486,2714,1991,7813,31084,189835,40312,134404,15119
,,"Rate per 100,000 inhabitants",,632.9,7.3,40.8,29.9,117.5,467.3,2854.1,606.1,2020.7,227.3
TEXAS,Metropolitan Statistical Area,,24814265,,,,,,,,,,
,,Area actually reporting,0.997,112094,1382,12022,8912,32508,66182,708595,132040,511044,65511
,,Estimated total,1,112275,1382,12049,8935,32551,66293,710123,132303,512191,65629
,Cities outside metropolitan areas,,1439521,,,,,,,,,,
,,Area actually reporting,0.966,5470,44,682,497,596,4148,38585,8950,27759,1876
,,Estimated total,1,5656,46,708,519,614,4288,39863,9250,28677,1936
,Nonmetropolitan counties,,1608810,,,,,,,,,,
,,Area actually reporting,0.989,3077,49,604,400,150,2274,18758,7110,10173,1475
,,Estimated total,1,3111,50,610,404,152,2299,18961,7187,10283,1491
,State Total,,27862596,121042,1478,13367,9858,33317,72880,768947,148740,551151,69056
,,"Rate per 100,000 inhabitants",,434.4,5.3,48,35.4,119.6,261.6,2759.8,533.8,1978.1,247.8
UTAH,Metropolitan Statistical Area,,2725548,,,,,,,,,,
,,Area actually reporting,0.994,6695,63,1370,1010,1499,3763,83517,11726,62970,8821
,,Estimated total,1,6721,63,1375,1014,1505,3778,83912,11789,63255,8868
,Cities outside metropolitan areas,,149141,,,,,,,,,,
,,Area actually reporting,0.903,320,2,81,59,20,217,3185,483,2508,194
,,Estimated total,1,354,2,90,66,22,240,3529,535,2779,215
,Nonmetropolitan counties,,176528,,,,,,,,,,
,,Area actually reporting,0.955,317,7,53,34,13,244,2498,489,1718,291
,,Estimated total,1,332,7,55,36,14,256,2617,512,1800,305
,State Total,,3051217,7407,72,1520,1116,1541,4274,90058,12836,67834,9388
,,"Rate per 100,000 inhabitants",,242.8,2.4,49.8,36.6,50.5,140.1,2951.5,420.7,2223.2,307.7
VERMONT,Metropolitan Statistical Area,,217636,,,,,,,,,,
,,Area actually reporting,1,439,7,74,53,54,304,4894,747,4058,89
,Cities outside metropolitan areas,,203654,,,,,,,,,,
,,Area actually reporting,1,322,1,62,42,40,219,3607,585,2937,85
,Nonmetropolitan counties,,203304,,,,,,,,,,
,,Area actually reporting,1,228,6,42,29,12,168,2101,771,1222,108
,State Total,,624594,989,14,178,124,106,691,10602,2103,8217,282
,,"Rate per 100,000 inhabitants",,158.3,2.2,28.5,19.9,17,110.6,1697.4,336.7,1315.6,45.1
VIRGINIA,Metropolitan Statistical Area,,7366234,,,,,,,,,,
,,Area actually reporting,1,16236,406,2236,1628,4572,9022,141037,17122,114954,8961
,Cities outside metropolitan areas,,259405,,,,,,,,,,
,,Area actually reporting,0.999,848,23,147,104,140,538,6736,918,5560,258
,,Estimated total,1,849,23,147,104,140,539,6745,919,5568,258
,Nonmetropolitan counties,,786169,,,,,,,,,,
,,Area actually reporting,1,1217,55,354,233,91,717,8630,1977,6084,569
,State Total,,8411808,18302,484,2737,1965,4803,10278,156412,20018,126606,9788
,,"Rate per 100,000 inhabitants",,217.6,5.8,32.5,23.4,57.1,122.2,1859.4,238,1505.1,116.4
WASHINGTON6,Metropolitan Statistical Area,,6561914,,,,,,,,,,
,,Area actually reporting,0.999,20475,172,2786,2054,5467,12050,235805,44545,160783,30477
,,Estimated total,1,20475,172,2786,2054,5467,12050,235814,44546,160790,30478
,Cities outside metropolitan areas,,299860,,,,,,,,,,
,,Area actually reporting,0.978,983,7,195,140,151,630,12608,2593,8804,1211
,,Estimated total,1,1004,7,199,144,154,644,12894,2652,9004,1238
,Nonmetropolitan counties,,426226,,,,,,,,,,
,,Area actually reporting,1,544,16,92,61,30,406,5945,1982,3393,570
,State Total,,7288000,22023,195,3077,2259,5651,13100,254653,49180,173187,32286
,,"Rate per 100,000 inhabitants",,302.2,2.7,42.2,31,77.5,179.7,3494.1,674.8,2376.3,443
WEST VIRGINIA,Metropolitan Statistical Area,,1131010,,,,,,,,,,
,,Area actually reporting,0.899,4030,50,427,309,564,2989,26592,6775,18050,1767
,,Estimated total,1,4334,52,460,335,597,3225,29486,7377,20151,1958
,Cities outside metropolitan areas,,187738,,,,,,,,,,
,,Area actually reporting,0.59,388,2,28,21,34,324,1898,314,1491,93
,,Estimated total,1,648,3,37,28,58,550,3220,533,2529,158
,Nonmetropolitan counties,,512354,,,,,,,,,,
,,Area actually reporting,0.937,1476,24,150,99,61,1241,4481,1304,2809,368
,,Estimated total,1,1575,26,160,105,65,1324,4781,1391,2997,393
,State Total,,1831102,6557,81,657,468,720,5099,37487,9301,25677,2509
,,"Rate per 100,000 inhabitants",,358.1,4.4,35.9,25.6,39.3,278.5,2047.2,507.9,1402.3,137
WISCONSIN6,Metropolitan Statistical Area,,4281462,,,,,,,,,,
,,Area actually reporting,0.99,15475,205,1532,1145,4603,9135,89637,15331,65137,9169
,,Estimated total,1,15515,205,1541,1152,4608,9161,90113,15411,65509,9193
,Cities outside metropolitan areas,,648096,,,,,,,,,,
,,Area actually reporting,0.996,1250,14,251,184,66,919,14410,1741,12298,371
,,Estimated total,1,1254,14,251,184,66,923,14471,1748,12350,373
,Nonmetropolitan counties,,849150,,,,,,,,,,
,,Area actually reporting,1,910,10,187,122,32,681,7136,2266,4478,392
,State Total,,5778708,17679,229,1979,1458,4706,10765,111720,19425,82337,9958
,,"Rate per 100,000 inhabitants",,305.9,4,34.2,25.2,81.4,186.3,1933.3,336.1,1424.8,172.3
WYOMING,Metropolitan Statistical Area,,180145, ,,,,,, ,,,
,,Area actually reporting,1,413,8,59,43,30,316,5020,866,3739,415
,Cities outside metropolitan areas,,245821,,,,,,,,,,
,,Area actually reporting,0.957,635,10,112,81,26,487,5091,645,4167,279
,,Estimated total,1,663,10,117,86,27,509,5321,674,4355,292
,Nonmetropolitan counties,,159535,,,,,,,,,,
,,Area actually reporting,0.884,314,2,26,19,2,284,989,204,703,82
,,Estimated total,1,354,2,29,21,2,321,1119,231,795,93
,State Total,,585501,1430,20,205,150,59,1146,11460,1771,8889,800
,,"Rate per 100,000 inhabitants",,244.2,3.4,35,25.6,10.1,195.7,1957.3,302.5,1518.2,136.6
"1  The violent crime figures include the offenses of murder, rape (revised definition), robbery, and aggravated assault.",,,,,,,,,,,,,
2 The figures shown in the rape (revised definition) column were estimated using the revised Uniform Crime Reporting (UCR) definition of rape. See data declaration for further explanation.,,,,,,,,,,,,,
3 The figures shown in the rape (legacy definition) column were estimated using the legacy UCR definition of rape. See data declaration for further explanation.,,,,,,,,,,,,,
4  Includes offenses reported by the Metro Transit Police and the Arson Investigation Unit of the District of Columbia Fire and Emergency Medical Services: Arson Investigation Unit.,,,,,,,,,,,,,
5  This state's agencies submitted rape data according to the legacy UCR definition of rape.  ,,,,,,,,,,,,,
6  Agencies within this state submitted rape data according to both the revised UCR definition of rape and the legacy UCR definition of rape.  ,,,,,,,,,,,,,
7  The figures submitted by Puerto Rico for rape were not verified and may not be comparable to previous years' data.,,,,,,,,,,,,,
"NOTE:  Although arson data are included in the trend and clearance tables, sufficient data are not available to estimate totals for this offense. Therefore, no arson data are published in this table.",,,,,,,,,,,,,
